Time (s),Z Position (mm)
1.37,1.033174651875001
1.3800000000000001,1.0619857579153125
1.3900000000000001,1.089471487536109
1.4000000000000001,1.1155205828114232
1.41,1.1400487457500588
1.42,1.1629266157863314
1.43,1.184073033947052
1.44,1.2033928361096635
1.45,1.2241970061201937
1.46,1.2403857721376224
1.47,1.2544210351349268
1.48,1.2671716936029167
1.49,1.278588454151809
1.5,1.2886028975702497
1.51,1.2971858853729477
1.52,1.3042742067533266
1.53,1.30983318011497
1.54,1.3138306795335448
1.55,1.3162392102200846
1.56,1.3221544522593376
1.57,1.3314442242642672
1.58,1.3393420365989064
1.59,1.3458063072854831
1.6,1.350801506489649
1.61,1.3542979334954186
1.62,1.356280908472512
1.6300000000000001,1.356721405935194
1.6400000000000001,1.3556116348807068
1.6500000000000001,1.3529502054133742
1.6600000000000001,1.3502833352953412
1.67,1.3490905807970444
1.68,1.3460906411052582
1.69,1.341278709861714
1.7,1.3390622623336397
1.71,1.337637336304151
1.72,1.350892721392657
1.73,1.3812707903167518
1.74,1.409879206896132
1.75,1.4365905795653764
1.76,1.4613309681158646
1.77,1.4839705042171956
1.78,1.4945868531799102
1.79,1.4896328380819153
1.8,1.4837313173687687
1.81,1.4769127000081324
1.82,1.4691977140935784
1.83,1.4606221937917565
1.84,1.4514580219644595
1.85,1.4560729297852182
1.86,1.4582837039616696
1.87,1.4580754017259137
1.8800000000000001,1.455434009348427
1.8900000000000001,1.4503761398514616
1.9000000000000001,1.4429010700753824
1.9100000000000001,1.4330508390641512
1.92,1.4208409055025792
1.93,1.4063256891889873
1.94,1.3895517574744287
1.95,1.3705925412323012
1.96,1.3495049250170197
1.97,1.326387282064616
1.98,1.301312475611471
1.99,1.2744024468525428
2.0,1.2457504205473988
2.0100000000000002,1.2154669355673335
2.02,1.2062741933670365
2.0300000000000002,1.2058092321756742
2.04,1.2041119994877665
2.05,1.2011863997534846
2.06,1.1970442749230596
2.07,1.1916895735784268
2.08,1.185154301818984
2.09,1.1774569997605402
2.1,1.1686198324284762
2.11,1.1586857478900614
2.12,1.1460069856634605
2.13,1.1222497651672323
2.14,1.096508533767107
2.15,1.0818367011638168
2.16,1.081482893136186
2.17,1.0845397308531737
2.18,1.0856059232091273
2.19,1.0846740912203994
2.2,1.0817485480821556
2.21,1.0783325573342364
2.22,1.0715915558855087
2.23,1.0611101454382543
2.24,1.0682083472026571
2.25,1.0754624866360794
2.2600000000000002,1.157476752791076
2.27,1.2270930557614144
2.2800000000000002,1.276640748835947
2.29,1.3381469864266284
2.3000000000000003,1.3937792698208422
2.31,1.4298519197274573
2.32,1.46001903794944
2.33,1.4885878064579556
2.34,1.5154452633633448
2.35,1.5404730657826338
2.36,1.5635623045106717
2.37,1.584615793284113
2.38,1.6035361800126475
2.39,1.6202372022873834
2.4,1.6346459090423957
2.41,1.6496493240072656
2.42,1.66941233016408
2.43,1.6875251805524445
2.44,1.703898385771033
2.45,1.7184623158148573
2.46,1.7311524827081026
2.47,1.7419061913110891
2.48,1.7515319414411652
2.49,1.7605279884800409
2.5,1.767447891033367
2.5100000000000002,1.7722525806404523
2.52,1.7749206661440138
2.5300000000000002,1.775430271163822
2.54,1.7817015403489782
2.5500000000000003,1.7863247546145031
2.56,1.7884828962088706
2.57,1.796330315955973
2.58,1.803276649978791
2.59,1.8097327096416187
2.6,1.8138225427959909
2.61,1.8155239407497137
2.62,1.8148173136236851
2.63,1.8116924333652344
2.64,1.8070427044488584
2.65,1.813651571534853
2.66,1.913326439627841
2.67,1.8898568821068955
2.68,1.8651243781126416
2.69,1.83967744118222
2.7,1.8135223722748288
2.71,1.7862590502383986
2.72,1.75695886516276
2.73,1.7263987837738948
2.74,1.6959110173222485
2.75,1.6643420258826205
2.7600000000000002,1.6331093293171557
2.77,1.601875172639433
2.7800000000000002,1.5705615491013918
2.79,1.5439343029902657
2.8000000000000003,1.4377142097184197
2.81,1.4153430912346268
2.82,1.395487823665844
2.83,1.3742851256020048
2.84,1.361104539739121
2.85,1.343742678160176
2.86,1.3314983379647936
2.87,1.3270258801457055
2.88,1.3431842456767835
2.89,1.3762036664355248
2.9,1.4001148287537104
2.91,1.4235877864497086
2.92,1.4471680696437783
2.93,1.4732480024071537
2.94,1.4810530222528573
2.95,1.490572394819001
2.96,1.849688006666108
2.97,1.8228714008033344
2.98,1.8038568644733288
2.99,1.7996429936030096
