Time (ms),Trajectory Position 1 (mm),Measured Position 1 (mm),Trajectory Position 2 (mm),Measured Position 2 (mm),Trajectory Position 3 (mm),Measured Position 3 (mm)
4760.0,116.62023046874994,116.62717578124995,124.16184765624993,124.17127343749993,120.54780468749993,120.54532421874994
4770.0,116.62023046874994,116.62717578124995,124.11174218749993,124.11719921874993,120.59791015624994,120.59592578124993
4780.0,116.62023046874994,116.62717578124995,124.06163671874994,124.06957421874993,120.64801562499994,120.64702343749993
4790.0,116.62023046874994,116.62717578124995,124.01153124999993,124.01847656249994,120.69812109374995,120.69464843749994
4800.0,116.62023046874994,116.62717578124995,123.96192187499993,123.96787499999994,120.74773046874994,120.74524999999994
4810.0,116.62023046874994,116.62717578124995,123.91181640624993,123.92024999999994,120.79783593749993,120.79287499999994
4820.0,116.62023046874994,116.62717578124995,123.86171093749994,123.86964843749993,120.84794140624993,120.84347656249994
4830.0,116.62023046874994,116.62717578124995,123.81160546874993,123.81855078124994,120.89804687499995,120.89457421874994
4840.0,116.62023046874994,116.62717578124995,123.76199609374994,123.76794921874993,120.94815234374994,120.94517578124994
4850.0,116.62023046874994,116.62717578124995,123.71189062499994,123.72032421874994,120.99776171874994,120.99627343749994
4860.0,116.62023046874994,116.62717578124995,123.66178515624993,123.66624999999993,121.04786718749993,121.04389843749993
4870.0,116.62023046874994,116.62717578124995,123.61167968749993,123.61862499999994,121.09797265624994,121.09449999999994
4880.0,116.62023046874994,116.62717578124995,123.56157421874994,123.57099999999993,121.14807812499993,121.14510156249995
4890.0,116.62023046874994,116.62717578124995,123.51196484374994,123.52039843749995,121.19768749999994,121.19619921874994
4900.0,116.62023046874994,116.62717578124995,123.46185937499995,123.46930078124993,121.24779296874993,121.24382421874994
4910.0,116.62023046874994,116.62717578124995,123.41175390624994,123.41869921874994,121.29789843749994,121.29442578124994
4920.0,116.62023046874994,116.62717578124995,123.36164843749992,123.37107421874992,121.34800390624993,121.34552343749993
4930.0,116.62023046874994,116.62717578124995,123.31154296874993,123.31997656249993,121.39810937499993,121.39314843749993
4940.0,116.62023046874994,116.62717578124995,123.26193359374994,123.26937499999993,121.44771874999994,121.44672656249995
4950.0,116.62023046874994,116.62717578124995,123.21182812499994,123.21877343749995,121.49782421874994,121.49435156249993
4960.0,116.62023046874994,116.62717578124995,123.16172265624994,123.16767578124993,121.54792968749993,121.54544921874994
4970.0,116.62023046874994,116.62717578124995,123.11161718749995,123.12005078124993,121.59803515624994,121.59605078124994
4980.0,116.62023046874994,116.62717578124995,123.06200781249993,123.06597656249994,121.64814062499994,121.64367578124994
4990.0,116.62023046874994,116.62717578124995,123.01190234374994,123.01835156249993,121.69774999999994,121.69477343749993
5000.0,116.62023046874994,116.62717578124995,122.96179687499993,122.96774999999994,121.74785546874995,121.74239843749994
5010.0,116.62023046874994,116.62717578124995,122.91169140624994,122.92012499999994,121.79796093749994,121.79597656249993
5020.0,116.62023046874994,116.62717578124995,122.86158593749994,122.86952343749994,121.84806640624994,121.84360156249993
5030.0,116.62023046874994,116.62717578124995,122.81197656249994,122.81544921874995,121.89767578124993,121.89469921874993
5040.0,116.62023046874994,116.62717578124995,122.76187109374993,122.77080078124995,121.94778124999995,121.94530078124993
5050.0,116.62023046874994,116.62717578124995,122.71176562499994,122.71672656249993,121.99788671874994,121.99639843749993
5060.0,116.62023046874994,116.62717578124995,122.66166015624994,122.66910156249993,122.04055078124993,122.04055078124993
5070.0,116.62023046874994,116.62717578124995,122.61155468749993,122.61849999999994,122.07378906249994,122.07577343749993
5080.0,116.62023046874994,116.62717578124995,122.56194531249993,122.56789843749993,122.09660937499994,122.09760156249993
5090.0,116.62023046874994,116.62717578124995,122.51183984374994,122.52027343749994,122.10950781249993,122.11049999999994
5100.0,116.62023046874994,116.62717578124995,122.46173437499993,122.46917578124994,122.11298046874994,122.11347656249994
5110.0,116.62023046874994,116.62717578124995,122.41162890624993,122.42155078124993,122.11298046874994,122.11347656249994
5120.0,116.62023046874994,116.62717578124995,122.36152343749994,122.36747656249995,122.11298046874994,122.11347656249994
5130.0,116.62023046874994,116.62717578124995,122.31191406249992,122.31985156249995,122.11298046874994,122.11347656249994
5140.0,116.62023046874994,116.62717578124995,122.26180859374993,122.26924999999994,122.11298046874994,122.11347656249994
5150.0,116.62023046874994,116.62717578124995,122.21170312499993,122.21864843749994,122.11298046874994,122.11347656249994
5160.0,116.62023046874994,116.62717578124995,122.16159765624994,122.16755078124994,122.11298046874994,122.11347656249994
5170.0,116.62023046874994,116.62717578124995,122.11198828124994,122.11694921874994,122.11298046874994,122.11347656249994
5180.0,116.62023046874994,116.62717578124995,122.06188281249995,122.06932421874994,122.11298046874994,122.11347656249994
5190.0,116.62023046874994,116.62717578124995,122.01177734374993,122.01822656249995,122.11298046874994,122.11347656249994
5200.0,116.62023046874994,116.62717578124995,121.96167187499994,121.97060156249994,122.11298046874994,122.11347656249994
5210.0,116.62023046874994,116.62717578124995,121.91156640624993,121.91999999999993,122.11298046874994,122.11347656249994
5220.0,116.62023046874994,116.62717578124995,121.86195703124994,121.86939843749994,122.11298046874994,122.11347656249994
5230.0,116.62023046874994,116.62717578124995,121.81185156249994,121.81830078124993,122.11298046874994,122.11347656249994
5240.0,116.62023046874994,116.62717578124995,121.76174609374995,121.76769921874994,122.11298046874994,122.11347656249994
5250.0,116.62023046874994,116.62717578124995,121.71213671874993,121.72007421874993,122.11298046874994,122.11347656249994
5260.0,116.62023046874994,116.62717578124995,121.66848046874993,121.67244921874993,122.11298046874994,122.11347656249994
5270.0,116.62023046874994,116.62717578124995,121.63524218749994,121.64069921874994,122.11298046874994,122.11347656249994
5280.0,116.62023046874994,116.62717578124995,121.61242187499994,121.61539843749993,122.11298046874994,122.11347656249994
5290.0,116.62023046874994,116.62717578124995,121.59902734374994,121.60249999999994,122.11298046874994,122.11347656249994
5300.0,116.62023046874994,116.62717578124995,121.59555468749994,121.59952343749994,122.11298046874994,122.11347656249994
5310.0,116.62023046874994,116.62717578124995,121.59555468749994,121.59952343749994,122.11298046874994,122.11347656249994
5320.0,116.62023046874994,116.62717578124995,121.59555468749994,121.59952343749994,122.11298046874994,122.11347656249994
5330.0,116.62023046874994,116.62717578124995,121.59555468749994,121.59952343749994,122.11298046874994,122.11347656249994
5340.0,116.62023046874994,116.62717578124995,121.59555468749994,121.59952343749994,122.11298046874994,122.11347656249994
5350.0,116.62221484374993,116.62717578124995,121.59803515624994,121.59952343749994,122.11099609374993,122.11347656249994
5360.0,116.63412109374994,116.63362499999994,121.61043749999993,121.60547656249994,122.09908984374994,122.11049999999994
5370.0,116.65545312499994,116.65594921874994,121.63226562499993,121.62780078124993,122.07775781249994,122.08817578124993
5380.0,116.68720312499994,116.68422656249994,121.66451171874994,121.65955078124993,122.04600781249994,122.05642578124994
5390.0,116.72837890624994,116.72589843749994,121.70667968749993,121.70072656249994,122.00483203124995,122.01524999999994
5400.0,116.77798828124993,116.77649999999994,121.75628906249995,121.74835156249993,121.95522265624993,121.96762499999994
5410.0,116.82809374999995,116.82412499999995,121.80639453124994,121.79944921874994,121.90511718749994,121.91702343749994
