T,rod1_torque_x,rod1_torque_y,rod2_torque_x,rod2_torque_y,tip_position_x,tip_position_y,tip_position_z,tip_velocity_x,tip_velocity_y,tip_velocity_z
27.10000000033786,-0.011099308027567732,0.0124068625169694,0.01109930802756683,-0.012406862516969038,0.3259937739117406,0.34690163624521575,-0.5946889100085379,-0.22246967166555254,-0.19409876794464886,-0.30217071268238094
27.120000000338525,-0.010967554382188337,0.01226590471760457,0.010967554382187425,-0.012265904717604185,0.3215265311467299,0.342994869165647,-0.6006822678534547,-0.2241987530229329,-0.19652062099476272,-0.2971959293486571
27.14000000033919,-0.010837765782868878,0.012127265647487943,0.010837765782867954,-0.012127265647487522,0.3170264538616028,0.33904143737715275,-0.6065765629454306,-0.22578868367397148,-0.1988021434359003,-0.29223445603313664
27.160000000339853,-0.010709611853304745,0.011990564760406648,0.010709611853303842,-0.011990564760406226,0.31249440163397735,0.3350421459495468,-0.6123704263594746,-0.2274729789504816,-0.20118677870712653,-0.28708086186067305
27.180000000340517,-0.010583332885217988,0.011856102160859062,0.010583332885217083,-0.011856102160858665,0.3079336600462747,0.3310003474389093,-0.6180650249597387,-0.2288318957508042,-0.20323537629101027,-0.2821360601503957
27.20000000034118,-0.010458569514464796,0.011723475880327348,0.010458569514463882,-0.011723475880326947,0.30334467742075605,0.326916430154848,-0.6236587549418052,-0.23008342322142544,-0.20517479547850892,-0.2772059270346328
27.220000000341845,-0.01033526919254072,0.011592639458162588,0.010335269192539813,-0.011592639458162229,0.298730373262335,0.3227933832965866,-0.6291527148231335,-0.2312985022756597,-0.20707943471102674,-0.272224294242193
27.24000000034251,-0.010212932573288508,0.01146299915910263,0.01021293257328764,-0.011462999159102248,0.29409298852156984,0.3186334943197486,-0.6345473620153866,-0.23243409358578043,-0.20890384447499558,-0.26723310130646155
27.260000000343172,-0.010091800918060818,0.011334890812321204,0.010091800918059956,-0.011334890812320874,0.2894330930229083,0.31443729330179243,-0.63984153176029,-0.23350521074495706,-0.21066371553700103,-0.2622236446036346
27.280000000343836,-0.009971229578173866,0.011207508357232016,0.009971229578172999,-0.011207508357231692,0.28475447343156185,0.31020871759936425,-0.6450376211153214,-0.2344395741458542,-0.2122823133467105,-0.2572746303517273
27.3000000003445,-0.009851743021896913,0.011081563623867214,0.009851743021896073,-0.0110815636238669,0.28005620404867826,0.30594671506626797,-0.6501327618492394,-0.23533453658411882,-0.2138625356239638,-0.2522852227408584
27.320000000345164,-0.009732518783248639,0.010956021926735301,0.009732518783247804,-0.010956021926734949,0.275342512591438,0.30165570721075696,-0.6551301452015652,-0.23604685768564018,-0.2152518201431677,-0.24742320013583777
27.340000000345828,-0.00961374958444495,0.010831160313709919,0.009613749584444123,-0.010831160313709556,0.2706136633177559,0.2973359070097612,-0.6600282596708273,-0.23678184811189906,-0.21666880180910283,-0.24244451669049744
27.360000000346492,-0.009495339089891764,0.010706873384889461,0.009495339089890932,-0.010706873384889092,0.2658721043283141,0.2929898578930511,-0.6648283838250436,-0.23732961057773735,-0.21788905836235967,-0.23761005792607923
27.380000000347156,-0.00937683548370195,0.010582599979719868,0.009376835483701145,-0.01058259997971947,0.261119671277959,0.2886194537286785,-0.669530995639082,-0.2379071576369179,-0.21914504049012093,-0.2326434518606321
